City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Mar Del Plata,AR,71.6,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
5,Atuona,PF,79.63,light rain,-9.8,-139.0333,Villa Enata
16,Honiara,SB,81.09,overcast clouds,-9.4333,159.95,Heritage Park Hotel
23,Majalgaon,IN,78.26,scattered clouds,19.15,76.2333,इंद्रायणी ढाबा
24,Rikitea,PF,78.69,clear sky,-23.1203,-134.9692,Pension Maro'i
25,Busselton,AU,72.0,overcast clouds,-33.65,115.3333,Observatory Guest House
32,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
33,Cabo San Lucas,MX,75.2,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
35,Madang,PG,81.81,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
37,Hobart,AU,70.0,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
40,Puerto Carreno,CO,88.0,broken clouds,6.189,-67.4859,Casa Hotel Victoria
41,Kapaa,US,73.4,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
42,Vaini,TO,84.2,few clouds,-21.2,-175.2,Keleti Beach Resort
43,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
48,Yarada,IN,75.2,mist,17.65,83.2667,Jeevan
52,Sao Gabriel Da Cachoeira,BR,72.46,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
56,Port Blair,IN,77.7,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
57,Lorengau,PG,84.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
60,Saint-Pierre,RE,75.2,light rain,-21.3393,55.4781,Lindsey Hôtel
63,Dumai,ID,74.82,overcast clouds,1.6833,101.45,Grand Zuri Dumai
68,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
70,East London,ZA,73.8,clear sky,-33.0153,27.9116,Tu Casa
71,Manokwari,ID,81.81,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
72,Vao,NC,77.18,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
82,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
84,Bambanglipuro,ID,78.21,light rain,-7.95,110.2833,Puri Brata
85,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
88,Mareeba,AU,84.2,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
89,Camapua,BR,72.28,few clouds,-19.5314,-54.0439,Comercial Estrela
96,New Norfolk,AU,70.0,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
98,Bairnsdale,AU,71.01,broken clouds,-37.8333,147.6167,Town Central Motel
101,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
106,Hithadhoo,MV,77.99,overcast clouds,-0.6,73.0833,Scoop Guest House
107,Vanimo,PG,82.58,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
110,Port Keats,AU,81.36,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
111,Pisco,PE,77.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
121,Carnarvon,AU,78.8,few clouds,-24.8667,113.6333,Hospitality Carnarvon
122,Arraial Do Cabo,BR,77.0,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
125,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
126,Charlestown,AU,82.99,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
127,Matara,LK,75.9,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
134,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
135,Rodrigues Alves,BR,78.8,clear sky,-7.7379999999999995,-72.6509,Pousada Aconchego
139,Pak Phanang,TH,75.2,few clouds,8.3511,100.20200000000001,Green Park Inn Hotel
140,Geraldton,AU,73.4,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
141,Tebingtinggi,ID,73.4,haze,3.3285,99.1625,Hotel Malibou tebing tinggi
142,Gabu,GW,76.08,clear sky,12.2833,-14.2167,Hotel karsa
148,Puerto Ayora,EC,78.01,moderate rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
151,Sibolga,ID,75.47,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
158,Kavieng,PG,84.7,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
169,San Patricio,US,73.4,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
172,Flinders,AU,75.99,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
173,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
176,Natal,BR,80.6,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
179,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
181,Tchaourou,BJ,80.17,overcast clouds,8.8865,2.5975,SAFIR HOTEL
182,Zaraza,VE,76.6,overcast clouds,9.3503,-65.3245,Hotel Zaraza
184,Wajid,SO,72.64,clear sky,3.8093,43.2471,xamdihotelresturant114
185,Nanakuli,US,80.6,light rain,21.3906,-158.1547,Camp Pālehua
186,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
189,Gweta,BW,77.97,few clouds,-20.1833,25.2333,Gweta Lodge
190,Santiago Del Estero,AR,83.17,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
198,Port Hedland,AU,87.8,broken clouds,-20.3167,118.5667,The Esplanade Hotel
207,Sidrolandia,BR,77.0,clear sky,-20.9319,-54.9614,Agropet São Francisco
209,Mogadishu,SO,78.12,few clouds,2.0371,45.3438,Olympic Hotel
212,Dwarka,IN,73.09,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
216,Ixtapa,MX,77.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
217,Tautira,PF,87.8,broken clouds,-17.7333,-149.15,Pension Oaoa
218,Kapit,MY,74.16,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
219,Porto Nacional,BR,78.8,broken clouds,-10.7081,-48.4172,Vila Real Hotel
220,Salalah,OM,71.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
224,Oranjestad,AW,80.6,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
225,Ternate,ID,82.71,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
228,Malakal,SS,84.88,clear sky,9.5334,31.6605,Nile Palace Hotel
232,Abu Dhabi,AE,73.4,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
237,Quepos,CR,75.2,scattered clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
238,Belmonte,BR,77.0,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
239,Monsenhor Gil,BR,78.8,clear sky,-5.5642,-42.6078,VB Hotel
242,Nabire,ID,81.93,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
250,Vung Tau,VN,78.75,overcast clouds,10.345999999999998,107.0843,Green hotel
255,Labuhan,ID,78.82,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
258,Fayaoue,NC,79.32,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
262,Bengkulu,ID,75.11,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
264,Celestun,MX,78.75,clear sky,20.8667,-90.4,Posada Lilia
266,Cape Coast,GH,81.09,overcast clouds,5.1053,-1.2466,Samrit Hotel
267,Hope,US,72.0,broken clouds,33.6671,-93.5916,Best Western Hope
276,Coffs Harbour,AU,77.0,moderate rain,-30.3,153.1333,Aquajet Motel
277,Bouafle,CI,78.8,broken clouds,6.9904,-5.7442,Hotel Zaouli
283,Hobbs,US,78.8,clear sky,32.7026,-103.13600000000001,Best Western Executive Inn
287,Tual,ID,83.68,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
290,Mana,GF,77.16,overcast clouds,5.6592,-53.7767,LE SAMANA
294,Caravelas,BR,77.52,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
295,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,Fengshui Residence
304,Nelson Bay,AU,79.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
307,Progreso,MX,80.6,few clouds,21.2833,-89.6667,Playa Linda Hotel
308,Wamba,NG,78.87,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
309,Paoua,CF,73.44,overcast clouds,7.2427,16.4406,Quartier Paoua Elien
310,Yulara,AU,80.6,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
311,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
312,Namibe,AO,74.91,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
313,Caramay,PH,79.39,overcast clouds,10.1815,119.236,Peace and Love Beach Club
314,Kirakira,SB,83.57,overcast clouds,-10.4544,161.9205,SanBiz Lodge
319,Muriwai Beach,NZ,72.0,broken clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
320,Ambilobe,MG,72.66,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
321,Poum,NC,79.75,scattered clouds,-20.2333,164.0167,Gîte kajeon
322,Diamantino,BR,72.34,moderate rain,-14.4086,-56.4461,Hotel Delta
324,Itarema,BR,78.8,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
327,Mount Isa,AU,84.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
330,San Cristobal,VE,75.2,broken clouds,7.7669,-72.225,Posada Villaven C.A.
331,Namatanai,PG,85.53,overcast clouds,-3.6667,152.4333,Namatanai Hotel
332,Itaituba,BR,74.19,moderate rain,-4.2761,-55.9836,Hotel Campos
333,Charters Towers,AU,80.28,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
334,Srandakan,ID,78.3,overcast clouds,-7.9386,110.2506,Puri Brata
340,Young,UY,72.97,clear sky,-32.6833,-57.6333,Posada Gira el Sol
343,Kieta,PG,85.46,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
344,Hualmay,PE,73.58,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
347,Merauke,ID,80.82,broken clouds,-8.4667,140.3333,PC
348,Casay,PH,78.8,broken clouds,9.8204,123.5496,Blue Pot Family Resort
357,Pochutla,MX,84.2,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
358,Iracoubo,GF,77.7,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
361,Bandarbeyla,SO,75.85,scattered clouds,9.4942,50.8122,JABIR HOTEL
363,Santa Cruz,BO,84.2,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
371,Bonthe,SL,79.45,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
372,Nkhotakota,MW,73.2,light rain,-12.9274,34.2961,Sitima Inn
373,Karratha,AU,88.75,clear sky,-20.7377,116.8463,ibis Styles Karratha
376,Grajau,BR,74.34,broken clouds,-5.8194,-46.1386,Hotel Confiança
380,Soyo,AO,80.26,broken clouds,-6.1349,12.3689,Hotel Mpampa
381,Isiro,CD,70.43,scattered clouds,2.7739,27.616,Guest House Hewa Bora
382,Upata,VE,75.11,overcast clouds,8.0086,-62.3989,Posada Villa Nela
387,Iquique,CL,75.2,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
388,Ranot,TH,79.86,few clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
394,Isangel,VU,84.2,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
395,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
397,Meulaboh,ID,74.64,few clouds,4.1363,96.1285,Kost Pria
404,Champerico,GT,86.0,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
408,Ca Mau,VN,78.03,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
422,Chabahar,IR,72.88,clear sky,25.2919,60.643,هتل گدروشیا
423,Tabuk,PH,72.28,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
424,Letlhakane,BW,75.76,scattered clouds,-21.4167,25.5833,Motswedi Hotel P650
425,Novita,CO,75.24,moderate rain,4.9551,-76.6053,B/ Buenos Aires Sector Las Curvitas
427,Faanui,PF,82.15,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
429,Alagoa Grande,BR,77.0,clear sky,-7.1583,-35.63,Pousada do 15
436,Lazaro Cardenas,MX,78.55,clear sky,17.9583,-102.2,Hotel Quinta Antigua
437,Vaitape,PF,82.13,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
442,Kingaroy,AU,80.01,light rain,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
443,Rock Sound,BS,71.13,scattered clouds,24.9,-76.2,Rock Sound Club
444,Arlit,NE,82.47,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
446,Bac Lieu,VN,79.61,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
447,Antofagasta,CL,71.6,scattered clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
448,Auki,SB,82.89,broken clouds,-8.7676,160.7034,Auki Motel
451,Mitsamiouli,KM,81.36,overcast clouds,-11.3847,43.2844,Foyer ADM
454,Kahului,US,80.6,light rain,20.8947,-156.47,Maui Seaside Hotel
455,Soc Trang,VN,77.0,overcast clouds,9.6033,105.98,Phu Qui Hotel
456,Giyani,ZA,77.11,few clouds,-23.3025,30.7187,Kulani Country Lodge
458,Bua Yai,TH,80.04,few clouds,15.5855,102.4259,Rabiang Mai Resort
460,Kilinochchi,LK,76.03,scattered clouds,9.3961,80.3982,Solaivanam Guest House
461,Chimoio,MZ,71.6,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
462,Manado,ID,77.0,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
466,Emerald,AU,78.8,broken clouds,-23.5333,148.1667,The Irish Village
472,Kavaratti,IN,82.36,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
474,Fomboni,KM,82.99,scattered clouds,-12.28,43.7425,Auberge les abou
478,Tubuala,PA,84.2,few clouds,9.5167,-79.0333,Río Nabagana
479,Puerto Narino,CO,77.0,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
481,El Alto,PE,82.4,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
482,Quatre Cocos,MU,78.8,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
486,Santa Maria,BR,71.6,few clouds,-29.6842,-53.8069,Hotel Morotin
494,Mayumba,GA,79.39,overcast clouds,-3.432,10.6554,LIKWALE LODGE
495,Lima,PE,78.01,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
498,Trincomalee,LK,81.01,overcast clouds,8.5711,81.2335,Welcombe Hotel
505,Coari,BR,72.23,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
506,Boa Vista,BR,89.6,light rain,2.8197,-60.6733,Aipana Plaza Hotel
509,Lethem,GY,83.82,broken clouds,3.3803,-59.7968,Savannah Inn
510,Hobyo,SO,78.71,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
514,Mankono,CI,78.96,overcast clouds,8.0586,-6.1897,Hotel Cajoux
520,Sokoni,TZ,80.33,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
523,Padang,ID,73.4,few clouds,-0.9492,100.3543,Mercure Padang
525,Saravena,CO,76.28,broken clouds,6.9538,-71.8752,Hotel Diamante Saravena
528,Porciuncula,BR,72.68,overcast clouds,-20.9628,-42.0408,Pousada Cordeiro
533,Pontianak,ID,77.0,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
536,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
539,Meiktila,MM,70.02,scattered clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
545,Marawi,PH,75.0,moderate rain,7.9986,124.2928,Derogongan Residence
547,Cartagena,CO,78.8,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
553,Grenfell,AU,75.0,light rain,-33.9,148.1667,Grenfell Royal Hotel
554,Sur,OM,77.07,clear sky,22.5667,59.5289,Sur Plaza Hotel
557,San Bartolome Jocotenango,GT,75.2,broken clouds,15.1928,-91.0772,Quiche
563,Richards Bay,ZA,71.87,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
565,Oistins,BB,77.0,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
567,Luang Prabang,LA,70.05,scattered clouds,19.8856,102.1347,Villa Oasis
571,Vila Velha,BR,75.2,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
572,Keti Bandar,PK,70.81,clear sky,24.1447,67.4497,Haji laloo memon house
573,Tulua,CO,73.4,broken clouds,4.0847,-76.1954,Hotel Corazón del Valle
577,Magaria,NE,79.3,few clouds,12.9983,8.9099,Chez Honorable Chapiou
578,San Policarpo,PH,79.61,overcast clouds,12.1791,125.5072,JM Lodge
582,Careiro Da Varzea,BR,75.2,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
583,Ocampo,MX,77.23,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
584,Finschhafen,PG,82.56,light rain,-6.6024,147.8681,Cossam Guest House
586,Singaraja,ID,81.68,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
587,Waingapu,ID,79.81,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
595,Jibuti,DJ,78.8,haze,11.5,42.5,Orchid Main Camp Goubet
598,Booue,GA,75.02,light rain,-0.0921,11.9385,Splendeur de l'équateur
599,Ambon,ID,82.4,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
601,Puerto Escondido,MX,84.2,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
605,Ahipara,NZ,70.0,few clouds,-35.1667,173.1667,Ahipara Holiday Park
606,New Iberia,US,72.0,overcast clouds,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
607,Kalmunai,LK,75.45,broken clouds,7.4167,81.8167,VS Villa
612,Iquitos,PE,80.6,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
613,Tecoanapa,MX,81.88,clear sky,16.5167,-98.75,Hotel Manglares
615,Axim,GH,81.12,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
616,Chazuta,PE,78.8,few clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
617,Beira,MZ,78.8,few clouds,-19.8436,34.8389,Beira Terrace Hotel
619,Tomatlan,MX,79.72,clear sky,19.9333,-105.25,Norma franco
620,Hambantota,LK,76.39,overcast clouds,6.1241,81.1185,Bungalow 63
621,Mersing,MY,78.8,overcast clouds,2.4312,103.8405,Timotel Hotel
622,Alice Town,BS,72.03,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
623,Coahuayana,MX,78.8,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
626,Rantepao,ID,71.31,light rain,-2.9701,119.8978,Hotel Luta Resort
627,Sarangarh,IN,71.33,few clouds,21.6,83.0833,JAGDISH STAINLESS STEEL WORK SHOP
628,Sola,VU,80.6,overcast clouds,-13.8833,167.55,Leumerus Bungalows
629,Winneba,GH,82.4,few clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
634,Swan Hill,AU,72.32,overcast clouds,-35.3378,143.5544,Lazy River Motor Inn
637,Moree,AU,77.0,overcast clouds,-29.4667,149.85,Molika Springs Motel
639,Maine-Soroa,NE,79.12,clear sky,13.2114,12.0241,Complexe
640,Woodward,US,75.2,clear sky,36.4337,-99.3904,Holiday Inn Express & Suites Woodward Hwy 270
642,San Carlos Del Zulia,VE,76.84,few clouds,9.0,-71.9135,Hotel El Manantial
645,Viedma,AR,82.26,few clouds,-40.8135,-62.9967,Hotel Cristal
651,Lamu,KE,78.8,few clouds,-2.2717,40.902,Lamu House
652,Sri Aman,MY,73.4,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
653,Bayonet Point,US,72.0,scattered clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
666,Mar Del Plata,AR,71.6,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
667,Atuona,PF,79.63,light rain,-9.8,-139.0333,Villa Enata
678,Honiara,SB,81.09,overcast clouds,-9.4333,159.95,Heritage Park Hotel
685,Majalgaon,IN,78.26,scattered clouds,19.15,76.2333,इंद्रायणी ढाबा
686,Rikitea,PF,78.69,clear sky,-23.1203,-134.9692,Pension Maro'i
687,Busselton,AU,72.0,overcast clouds,-33.65,115.3333,Observatory Guest House
694,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
695,Cabo San Lucas,MX,73.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
697,Madang,PG,81.81,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
699,Hobart,AU,70.0,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
702,Puerto Carreno,CO,88.0,broken clouds,6.189,-67.4859,Casa Hotel Victoria
703,Kapaa,US,73.4,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
704,Vaini,TO,84.2,few clouds,-21.2,-175.2,Keleti Beach Resort
705,Butaritari,KI,81.39,light rain,3.0707,172.7902,Isles Sunset Lodge
710,Yarada,IN,75.2,mist,17.65,83.2667,Jeevan
714,Sao Gabriel Da Cachoeira,BR,72.46,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
718,Port Blair,IN,77.7,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
719,Lorengau,PG,84.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
722,Saint-Pierre,RE,75.2,light rain,-21.3393,55.4781,Lindsey Hôtel
725,Dumai,ID,74.82,overcast clouds,1.6833,101.45,Grand Zuri Dumai
730,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
732,East London,ZA,73.8,clear sky,-33.0153,27.9116,Tu Casa
733,Manokwari,ID,81.81,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
734,Vao,NC,77.18,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
744,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
746,Bambanglipuro,ID,78.21,overcast clouds,-7.95,110.2833,Puri Brata
747,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
750,Mareeba,AU,84.2,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
751,Camapua,BR,72.28,few clouds,-19.5314,-54.0439,Comercial Estrela
758,New Norfolk,AU,70.0,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
760,Bairnsdale,AU,71.01,broken clouds,-37.8333,147.6167,Town Central Motel
763,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
768,Hithadhoo,MV,77.99,overcast clouds,-0.6,73.0833,Scoop Guest House
769,Vanimo,PG,82.58,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
772,Port Keats,AU,81.36,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
773,Pisco,PE,77.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
783,Carnarvon,AU,78.8,few clouds,-24.8667,113.6333,Hospitality Carnarvon
784,Arraial Do Cabo,BR,77.0,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
787,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
788,Charlestown,AU,82.99,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
789,Matara,LK,75.9,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
796,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
797,Rodrigues Alves,BR,78.8,clear sky,-7.7379999999999995,-72.6509,Pousada Aconchego
801,Pak Phanang,TH,75.2,few clouds,8.3511,100.20200000000001,Green Park Inn Hotel
802,Geraldton,AU,73.4,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
803,Tebingtinggi,ID,73.4,haze,3.3285,99.1625,Hotel Malibou tebing tinggi
804,Gabu,GW,76.08,clear sky,12.2833,-14.2167,Hotel karsa
810,Puerto Ayora,EC,78.01,moderate rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
813,Sibolga,ID,75.47,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
820,Kavieng,PG,84.7,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
831,San Patricio,US,73.4,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
834,Flinders,AU,77.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
835,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
838,Natal,BR,80.6,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
843,Tchaourou,BJ,80.17,overcast clouds,8.8865,2.5975,SAFIR HOTEL
844,Zaraza,VE,76.6,overcast clouds,9.3503,-65.3245,Hotel Zaraza
846,Wajid,SO,72.64,clear sky,3.8093,43.2471,xamdihotelresturant114
847,Nanakuli,US,80.6,light rain,21.3906,-158.1547,Camp Pālehua
848,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
851,Gweta,BW,77.97,few clouds,-20.1833,25.2333,Gweta Lodge
